Company,Product,TypeName,Inches,ScreenResolution,CPU_Company,CPU_Type,CPU_Frequency (GHz),RAM (GB),Memory,GPU_Company,GPU_Type,OpSys,Weight (kg),Price (Euro)
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel,Core i5,2.3,8,128GB SSD,Intel,Iris Plus Graphics 640,macOS,1.37,1339.69
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel,Core i5,1.8,8,128GB Flash Storage,Intel,HD Graphics 6000,macOS,1.34,898.94
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,No OS,1.86,575
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel,Core i7,2.7,16,512GB SSD,AMD,Radeon Pro 455,macOS,1.83,2537.45
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel,Core i5,3.1,8,256GB SSD,Intel,Iris Plus Graphics 650,macOS,1.37,1803.6
Acer,Aspire 3,Notebook,15.6,1366x768,AMD,A9-Series 9420,3,4,500GB HDD,AMD,Radeon R5,Windows 10,2.1,400
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel,Core i7,2.2,16,256GB Flash Storage,Intel,Iris Pro Graphics,Mac OS X,2.04,2139.97
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel,Core i5,1.8,8,256GB Flash Storage,Intel,HD Graphics 6000,macOS,1.34,1158.7
Asus,ZenBook UX430UN,Ultrabook,14,Full HD 1920x1080,Intel,Core i7 8550U,1.8,16,512GB SSD,Nvidia,GeForce MX150,Windows 10,1.3,1495
Acer,Swift 3,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD,Intel,UHD Graphics 620,Windows 10,1.6,770
Dell,Inspiron 14 Plus,Notebook,14,2.2K 2240x1400,Intel,Core i7 13700H,3.7,16,512GB SSD,Intel,Iris Xe Graphics,Windows 11,1.66,1299
HP,Pavilion Aero 13,Ultrabook,13.3,2.5K 2560x1600,AMD,Ryzen 7 7735U,2.7,16,512GB SSD,AMD,Radeon 680M,Windows 11,0.99,1199
Dell,XPS 13 Plus,Ultrabook,13.4,3.5K OLED 3456x2160,Intel,Core i7 13700H,3.7,32,1TB SSD,Intel,Iris Xe Graphics,Windows 11,1.26,2399
Apple,MacBook Air M3,Ultrabook,13.6,Liquid Retina 2560x1664,Apple,M3,3.5,16,512GB SSD,Apple,M3 10-core GPU,macOS,1.24,1699
Apple,MacBook Pro M3,Ultrabook,14.2,Liquid Retina XDR 3024x1964,Apple,M3 Pro,4.0,18,512GB SSD,Apple,M3 Pro 18-core GPU,macOS,1.61,2399
Lenovo,ThinkPad X1 Carbon Gen 12,Ultrabook,14,2.8K OLED 2880x1800,Intel,Core Ultra 7 155U,3.8,32,1TB SSD,Intel,Arc Graphics,Windows 11,1.09,2799
ASUS,ZenBook 14 OLED,Ultrabook,14.5,2.8K OLED 2880x1800,Intel,Core i7 13700H,3.7,16,1TB SSD,Intel,Iris Xe Graphics,Windows 11,1.39,1599
HP,Spectre x360 14,2 in 1 Convertible,13.5,3K2K OLED 3000x2000,Intel,Core Ultra 7 155H,3.8,32,1TB SSD,Intel,Arc Graphics,Windows 11,1.36,2199
Dell,Alienware m18 R2,Gaming,18,QHD+ 2560x1600,Intel,Core i9 14900HX,5.8,64,2TB SSD,Nvidia,GeForce RTX 4090,Windows 11,3.64,4299
ASUS,ROG Zephyrus G16,Gaming,16,2.5K 240Hz 2560x1600,Intel,Core Ultra 9 185H,5.1,32,1TB SSD,Nvidia,GeForce RTX 4070,Windows 11,1.85,2899
Razer,Blade 16,Gaming,16,4K OLED 3840x2400,Intel,Core i9 14900HX,5.8,32,2TB SSD,Nvidia,GeForce RTX 4080,Windows 11,2.45,3999
MSI,Stealth 18 AI Studio,Gaming,18,4K Mini LED 3840x2400,Intel,Core Ultra 9 185H,5.1,64,2TB SSD,Nvidia,GeForce RTX 4080,Windows 11,2.89,3599
Acer,Predator Helios Neo 16,Gaming,16,2.5K 165Hz 2560x1600,Intel,Core i7 13700HX,5.0,32,1TB SSD,Nvidia,GeForce RTX 4060,Windows 11,2.6,1899
Framework,Laptop 16,Notebook,16,2.5K 165Hz 2560x1600,AMD,Ryzen 7 7840HS,5.1,32,1TB SSD,AMD,Radeon 780M,Windows 11,2.4,1999
System76,Oryx Pro,Gaming,15.6,4K 3840x2160,Intel,Core i7 13700HX,5.0,64,2TB SSD,Nvidia,GeForce RTX 4070,Pop!_OS,2.3,2799
LG,Gram 17,Ultrabook,17,2K 2560x1600,Intel,Core i7 13700H,3.7,16,1TB SSD,Intel,Iris Xe Graphics,Windows 11,1.35,1799
Samsung,Galaxy Book4 Ultra,Ultrabook,16,3K AMOLED 2880x1800,Intel,Core Ultra 7 155H,3.8,32,1TB SSD,Nvidia,GeForce RTX 4050,Windows 11,1.86,2199
Lenovo,Yoga Pro 9i,2 in 1 Convertible,16,3.2K Mini LED 3200x2000,Intel,Core i9 13905H,5.4,32,1TB SSD,Nvidia,GeForce RTX 4060,Windows 11,2.29,2599
